year,month,E_index,C_index
1994,4,-1.09296,0.69974
1994,5,-0.71386,0.63283
1994,6,-0.67348,0.64835
1994,7,-1.01877,0.92543
1994,8,-1.17995,1.19945
1994,9,-0.46013,0.84843
1994,10,0.34999,0.85497
1994,11,0.542,1.00629
1994,12,0.49184,1.1131
1995,1,0.47433,0.94609
1995,2,-0.15727,1.06052
1995,3,-0.82635,1.1925
1995,4,-1.44601,1.17803
1995,5,-1.50538,0.84393
1995,6,-1.02372,0.50987
1995,7,-0.72779,0.18964
1995,8,-0.92915,-0.19165
1995,9,-0.79396,-0.4988
1995,10,-0.74644,-0.64299
1995,11,-0.60157,-0.89421
1995,12,-0.9216,-0.63756
1996,1,-0.74412,-0.61376
1996,2,-0.50564,-0.68559
1996,3,-0.28973,-0.57182
1996,4,-1.17916,-0.26283
1996,5,-0.96988,-0.33308
1996,6,-1.08602,-0.28617
1996,7,-0.74289,-0.46239
1996,8,-0.58439,-0.29569
1996,9,-0.51878,-0.38146
1996,10,-0.67129,-0.31223
1996,11,-0.94315,-0.09166
1996,12,-1.38674,-0.10276
1997,1,-1.30183,0.16929
1997,2,-0.95601,0.22468
1997,3,-0.25615,0.14585
1997,4,-0.10639,0.51073
1997,5,1.07574,0.3185
1997,6,2.3878,-0.16668
1997,7,3.08266,-0.00112
1997,8,3.73859,0.03728
1997,9,3.8994,0.26054
1997,10,3.98288,0.29758
1997,11,4.26896,0.31654
1997,12,4.38007,0.08422
1998,1,3.93267,0.38556
1998,2,3.17631,0.42687
1998,3,2.92388,-0.07453
1998,4,2.94026,-0.70917
1998,5,2.93493,-0.99155
1998,6,2.33252,-1.68547
1998,7,1.35472,-1.73825
1998,8,1.13786,-2.02109
1998,9,0.49181,-1.87496
1998,10,0.67697,-2.29427
1998,11,0.60573,-2.21809
1998,12,0.3904,-2.33702
1999,1,0.18742,-2.4451
1999,2,0.44174,-2.34545
1999,3,0.75166,-2.11343
1999,4,-0.12305,-1.69748
1999,5,-0.08435,-1.58205
1999,6,-0.18878,-1.54799
1999,7,0.12685,-1.71449
1999,8,0.14933,-1.76847
1999,9,-0.61502,-1.34495
1999,10,-0.75561,-1.44907
1999,11,-0.70304,-1.81779
1999,12,-0.47524,-2.09549
